Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	GeneCards Link
ANKH	ANKH Inorganic Pyrophosphate Transport Regulator	Protein Coding	Q9HCJ1	51	GC05M014860	12.40971661	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKH
CD79A	CD79a Molecule	Protein Coding	P11912	61	GC19P041877	11.85489655	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A
BGLAP	Bone Gamma-Carboxyglutamate Protein	Protein Coding	P02818	52	GC01P156242	11.71188927	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGLAP
HP	Haptoglobin	Protein Coding	P00738	58	GC16P122099	11.47395992	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP
ANTXR2	ANTXR Cell Adhesion Molecule 2	Protein Coding	P58335	57	GC04M079901	11.39135551	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANTXR2
MIR125A	MicroRNA 125a	RNA Gene		30	GC19P152978	10.93583679	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A
MIR146A	MicroRNA 146a	RNA Gene		31	GC05P160485	10.83963299	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A
IL22	Interleukin 22	Protein Coding	Q9GZX6	54	GC12M068248	10.66845608	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL22
MIRLET7I	MicroRNA Let-7i	RNA Gene		30	GC12P075610	10.50857639	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7I
CD40LG	CD40 Ligand	Protein Coding	P29965	62	GC0XP136649	10.43583488	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG
IL10	Interleukin 10	Protein Coding	P22301	60	GC01M206767	10.3403492	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10
TAPBP	TAP Binding Protein	Protein Coding	O15533	55	GC06M033299	10.14553738	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAPBP
DKK1	Dickkopf WNT Signaling Pathway Inhibitor 1	Protein Coding	O94907	57	GC10P052314	9.592985153	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKK1
HLA-C	Major Histocompatibility Complex, Class I, C	Protein Coding	P10321	57	GC06M106435	9.499437332	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C
LTA	Lymphotoxin Alpha	Protein Coding	P01374	55	GC06P181891	9.367321014	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTA
PRTN3	Proteinase 3	Protein Coding	P24158	59	GC19P000840	9.299946785	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3
FCAR	Fc Alpha Receptor	Protein Coding	P24071	52	GC19P153120	9.267702103	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCAR
MIR223	MicroRNA 223	RNA Gene		30	GC0XP066018	9.140067101	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223
CD4	CD4 Molecule	Protein Coding	P01730	63	GC12P006786	9.025252342	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4
HLA-DRB1	Major Histocompatibility Complex, Class II, DR Beta 1	Protein Coding	P01911	60	GC06M106528	8.84975338	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1
SOST	Sclerostin	Protein Coding	Q9BQB4	55	GC17M043753	8.425248146	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOST
MEFV	MEFV Innate Immunity Regulator, Pyrin	Protein Coding	O15553	57	GC16M049968	8.214031219	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEFV
HSPD1	Heat Shock Protein Family D (Hsp60) Member 1	Protein Coding	P10809	61	GC02M197486	8.016513824	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1
ALB	Albumin	Protein Coding	P02768	61	GC04P073397	7.936267853	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB
IL12B	Interleukin 12B	Protein Coding	P29460	57	GC05M159314	7.926998138	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12B
CD8A	CD8 Subunit Alpha	Protein Coding	P01732	61	GC02M086784	7.642682076	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A
SAA1	Serum Amyloid A1	Protein Coding	P0DJI8	51	GC11P021404	7.622734547	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA1
MIR140	MicroRNA 140	RNA Gene		32	GC16P122015	7.482802391	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR140
MIR22	MicroRNA 22	RNA Gene		31	GC17M001713	7.482802391	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22
KIR3DL1	Killer Cell Immunoglobulin Like Receptor, Three Ig Domains And Long Cytoplasmic Tail 1	Protein Coding	P43629	51	GC19P153117	7.411513329	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR3DL1
TLR5	Toll Like Receptor 5	Protein Coding	O60602	60	GC01M223109	7.186960697	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR5
IL23A	Interleukin 23 Subunit Alpha	Protein Coding	Q9NPF7	50	GC12P075442	7.04159832	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL23A
HLA-DPB1	Major Histocompatibility Complex, Class II, DP Beta 1	Protein Coding	P04440	57	GC06P181928	7.033389568	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DPB1
KIR3DS1	Killer Cell Immunoglobulin Like Receptor, Three Ig Domains And Short Cytoplasmic Tail 1	Protein Coding	Q14943	28	GC19MR00058	7.031178474	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR3DS1
IL4	Interleukin 4	Protein Coding	P05112	59	GC05P132673	6.911887169	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4
SNAPC4	Small Nuclear RNA Activating Complex Polypeptide 4	Protein Coding	Q5SXM2	49	GC09M136375	6.811321735	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAPC4
RUNX3	RUNX Family Transcription Factor 3	Protein Coding	Q13761	55	GC01M024899	6.718780518	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX3
VEGFA	Vascular Endothelial Growth Factor A	Protein Coding	P15692	61	GC06P043770	6.60008812	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
HLA-A	Major Histocompatibility Complex, Class I, A	Protein Coding	P04439	59	GC06P181854	6.567107677	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A
PTPN22	Protein Tyrosine Phosphatase Non-Receptor Type 22	Protein Coding	Q9Y2R2	59	GC01M113813	6.528194427	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN22
LOC100287329	Uncharacterized LOC100287329	RNA Gene		15	GC06M106477	6.341547012	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC100287329
FGF23	Fibroblast Growth Factor 23	Protein Coding	Q9GZV9	58	GC12M004368	6.333896637	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF23
CTLA4	Cytotoxic T-Lymphocyte Associated Protein 4	Protein Coding	P16410	61	GC02P204860	6.315225601	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4
IL2	Interleukin 2	Protein Coding	P60568	58	GC04M122451	6.305469036	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2
PDCD1	Programmed Cell Death 1	Protein Coding	Q15116	60	GC02M241849	6.28052187	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1
NFKB1	Nuclear Factor Kappa B Subunit 1	Protein Coding	P19838	66	GC04P102501	6.240261555	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
TGFB1	Transforming Growth Factor Beta 1	Protein Coding	P01137	65	GC19M041301	6.217639923	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
GPT	Glutamic--Pyruvic Transaminase	Protein Coding	P24298	55	GC08P144502	6.071696758	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT
SAA2	Serum Amyloid A2	Protein Coding	P0DJI9	48	GC11M018238	6.071696758	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA2
VDR	Vitamin D Receptor	Protein Coding	P11473	61	GC12M047841	6.04328537	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR
JAK2	Janus Kinase 2	Protein Coding	O60674	66	GC09P004985	5.954860687	https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2
CCL2	C-C Motif Chemokine Ligand 2	Protein Coding	P13500	62	GC17P034255	5.921775818	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2
STAT3	Signal Transducer And Activator Of Transcription 3	Protein Coding	P40763	67	GC17M042313	5.912316322	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
IL1R2	Interleukin 1 Receptor Type 2	Protein Coding	P27930	59	GC02P101991	5.490111351	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R2
HLA-DQA1	Major Histocompatibility Complex, Class II, DQ Alpha 1	Protein Coding	P01909	55	GC06P181921	5.009320259	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQA1
KIR2DL5A	Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 5A	Protein Coding	Q8N109	31	GC19MR00046	4.971794128	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DL5A
B3GNT2	UDP-GlcNAc:BetaGal Beta-1,3-N-Acetylglucosaminyltransferase 2	Protein Coding	Q9NY97	51	GC02P062196	4.925632477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GNT2
CARD9	Caspase Recruitment Domain Family Member 9	Protein Coding	Q9H257	58	GC09M136364	4.840106964	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD9
KIF21B	Kinesin Family Member 21B	Protein Coding	O75037	48	GC01M200938	4.794663906	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF21B
TBKBP1	TBK1 Binding Protein 1	Protein Coding	A7MCY6	47	GC17P047694	4.794663906	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBKBP1
PTGER4	Prostaglandin E Receptor 4	Protein Coding	P35408	58	GC05P040679	4.747103691	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER4
ALPL	Alkaline Phosphatase, Biomineralization Associated	Protein Coding	P05186	63	GC01P021508	4.740320683	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPL
ANO6	Anoctamin 6	Protein Coding	Q4KMQ2	52	GC12P045215	4.644231319	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO6
NFKBIA	NFKB Inhibitor Alpha	Protein Coding	P25963	64	GC14M035401	4.592830181	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA
HLA-DQB1	Major Histocompatibility Complex, Class II, DQ Beta 1	Protein Coding	P01920	57	GC06M106540	4.591432571	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1
LEP	Leptin	Protein Coding	P41159	59	GC07P128241	4.489202023	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP
IL1F10	Interleukin 1 Family Member 10	Protein Coding	Q8WWZ1	49	GC02P113067	4.486400604	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1F10
IL37	Interleukin 37	Protein Coding	Q9NZH6	51	GC02P154108	4.440999985	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL37
KIR3DL2	Killer Cell Immunoglobulin Like Receptor, Three Ig Domains And Long Cytoplasmic Tail 2	Protein Coding	P43630	50	GC19P153119	4.440999985	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR3DL2
F2	Coagulation Factor II, Thrombin	Protein Coding	P00734	63	GC11P049059	4.414432049	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2
F3	Coagulation Factor III, Tissue Factor	Protein Coding	P13726	58	GC01M095040	4.414432049	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3
APCS	Amyloid P Component, Serum	Protein Coding	P02743	55	GC01P159587	4.414432049	https://www.genecards.org/cgi-bin/carddisp.pl?gene=APCS
CYTH1	Cytohesin 1	Protein Coding	Q15438	54	GC17M078674	4.414432049	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYTH1
SAA4	Serum Amyloid A4, Constitutive	Protein Coding	P35542	51	GC11M018234	4.414432049	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA4
SAA2-SAA4	SAA2-SAA4 Readthrough	Protein Coding		25	GC11M018233	4.414432049	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA2-SAA4
TNFAIP3	TNF Alpha Induced Protein 3	Protein Coding	P21580	62	GC06P137866	4.282733917	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP3
SERPINA1	Serpin Family A Member 1	Protein Coding	P01009	62	GC14M094376	4.266209602	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA1
H19	H19 Imprinted Maternally Expressed Transcript	RNA Gene		37	GC11M001995	4.176218033	https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19
KIR2DS5	Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Short Cytoplasmic Tail 5	Protein Coding	Q14953	30	GC19MR00030	4.169686317	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DS5
TRADD	TNFRSF1A Associated Via Death Domain	Protein Coding	Q15628	55	GC16M067154	4.059453011	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRADD
TNFSF15	TNF Superfamily Member 15	Protein Coding	O95150	55	GC09M114784	4.027463913	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF15
TIMP1	TIMP Metallopeptidase Inhibitor 1	Protein Coding	P01033	57	GC0XP060812	3.954172134	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1
S100A9	S100 Calcium Binding Protein A9	Protein Coding	P06702	56	GC01P153357	3.930806398	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9
SOCS1	Suppressor Of Cytokine Signaling 1	Protein Coding	O15524	58	GC16M050219	3.906799793	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS1
PTH1R	Parathyroid Hormone 1 Receptor	Protein Coding	Q03431	62	GC03P046877	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH1R
KL	Klotho	Protein Coding	Q9UEF7	61	GC13P033016	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KL
EXT1	Exostosin Glycosyltransferase 1	Protein Coding	Q16394	60	GC08M117798	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXT1
PRF1	Perforin 1	Protein Coding	P14222	60	GC10M070597	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRF1
EXT2	Exostosin Glycosyltransferase 2	Protein Coding	Q93063	58	GC11P044095	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXT2
FCGRT	Fc Gamma Receptor And Transporter	Protein Coding	P55899	56	GC19P049506	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGRT
GZMA	Granzyme A	Protein Coding	P12544	55	GC05P055102	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMA
FANCB	FA Complementation Group B	Protein Coding	Q8NB91	52	GC0XM016333	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCB
MRAP	Melanocortin 2 Receptor Accessory Protein	Protein Coding	Q8TCY5	47	GC21P032291	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRAP
MIR4646	MicroRNA 4646	RNA Gene		19	GC06M106484	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4646
MIR4667	MicroRNA 4667	RNA Gene		14	GC09P074604	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4667
MIR4800	MicroRNA 4800	RNA Gene		14	GC04M006326	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4800
MIR8063	MicroRNA 8063	RNA Gene		14	GC15M036972	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR8063
MIR7150	MicroRNA 7150	RNA Gene		10	GC09M123485	3.881376266	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7150
MALRD1	MAM And LDL Receptor Class A Domain Containing 1	Protein Coding	Q5VYJ5	40	GC10P019048	3.853931427	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALRD1
CCR6	C-C Motif Chemokine Receptor 6	Protein Coding	P51684	55	GC06P167111	3.846960545	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6
CXCL10	C-X-C Motif Chemokine Ligand 10	Protein Coding	P02778	57	GC04M076021	3.837407112	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10
CXCL8	C-X-C Motif Chemokine Ligand 8	Protein Coding	P10145	57	GC04P073740	3.825621605	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
CSF2RB	Colony Stimulating Factor 2 Receptor Subunit Beta	Protein Coding	P32927	58	GC22P036913	3.737166405	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2RB
LOC126862264	CDK7 Strongly-Dependent Group 2 Enhancer GRCh37_chr16:3293322-3294521	Functional Element		9	GC16P123929	3.737166405	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862264
KIR2DS1	Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Short Cytoplasmic Tail 1	Protein Coding	Q14954	28	GC19Mr00063	3.705756664	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DS1
COMP	Cartilage Oligomeric Matrix Protein	Protein Coding	P49747	60	GC19M108410	3.69890213	https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMP
IL36RN	Interleukin 36 Receptor Antagonist	Protein Coding	Q9UBH0	54	GC02P154110	3.69890213	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36RN
TUG1	Taurine Up-Regulated 1	Protein Coding	A0A6I8PU40	34	GC22P030969	3.622667789	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1
LOC128667222	MPRA-Validated PTGER4 Lymphoblastoid Enhancer	Functional Element		2	GC05P040490	3.603364468	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128667222
EDIL3	EGF Like Repeats And Discoidin Domains 3	Protein Coding	O43854	48	GC05M083940	3.598661184	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDIL3
PSMB8	Proteasome 20S Subunit Beta 8	Protein Coding	P28062	62	GC06M032840	3.569799662	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB8
LINC02605	Long Intergenic Non-Protein Coding RNA 2605	RNA Gene		21	GC08P078838	3.569799662	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02605
FCGR3A	Fc Gamma Receptor IIIa	Protein Coding	P08637	60	GC01M161541	3.516095638	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3A
ATG16L1	Autophagy Related 16 Like 1	Protein Coding	Q676U5	55	GC02P235056	3.516095638	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L1
FCGR3B	Fc Gamma Receptor IIIb	Protein Coding	O75015	55	GC01M161623	3.516095638	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3B
CDKAL1	CDKAL1 Threonylcarbamoyladenosine TRNA Methylthiotransferase	Protein Coding	Q5VV42	52	GC06P020534	3.516095638	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKAL1
IRGM	Immunity Related GTPase M	Protein Coding	A1A4Y4	45	GC05P150846	3.516095638	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRGM
BMP2	Bone Morphogenetic Protein 2	Protein Coding	P12643	58	GC20P006767	3.513510227	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2
HAPLN1	Hyaluronan And Proteoglycan Link Protein 1	Protein Coding	P10915	53	GC05M083637	3.453034401	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAPLN1
MIR451A	MicroRNA 451a	RNA Gene		25	GC17M028861	3.453034401	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR451A
S100A8	S100 Calcium Binding Protein A8	Protein Coding	P05109	55	GC01M167351	3.447764397	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8
FOXO1	Forkhead Box O1	Protein Coding	Q12778	64	GC13M040555	3.418157816	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO1
PDGFB	Platelet Derived Growth Factor Subunit B	Protein Coding	P01127	64	GC22M086976	3.418157816	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFB
C4A	Complement C4A (Chido/Rodgers Blood Group)	Protein Coding	P0C0L4	57	GC06P181914	3.418157816	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4A
ABCF1	ATP Binding Cassette Subfamily F Member 1	Protein Coding	Q8NE71	53	GC06P030571	3.418157816	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCF1
TNFRSF11A	TNF Receptor Superfamily Member 11a	Protein Coding	Q9Y6Q6	59	GC18P062325	3.387270927	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11A
KIR2DL1	Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 1	Protein Coding	P43626	48	GC19P153114	3.387270927	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DL1
INS	Insulin	Protein Coding	P01308	61	GC11M002159	3.339056492	https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS
IRAK1	Interleukin 1 Receptor Associated Kinase 1	Protein Coding	P51617	61	GC0XM154010	3.339056492	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK1
CD14	CD14 Molecule	Protein Coding	P08571	58	GC05M140631	3.314529419	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14
KIR2DL4	Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 4	Protein Coding	Q99706	49	GC19P153116	3.314529419	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DL4
KIR2DL3	Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 3	Protein Coding	P43628	48	GC19P154056	3.314529419	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DL3
KIR2DS4	Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Short Cytoplasmic Tail 4 (Gene/Pseudogene)	Protein Coding	P43632	42	GC19P153118	3.314529419	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DS4
KIR3DL3	Killer Cell Immunoglobulin Like Receptor, Three Ig Domains And Long Cytoplasmic Tail 3	Protein Coding	Q8N743	38	GC19P154057	3.314529419	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR3DL3
