Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link
MIR99B	MicroRNA 99b	RNA Gene		28	GC19P051692	16.55491638	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99B
MIR122	MicroRNA 122	RNA Gene		30	GC18P058451	16.39258766	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR122
MIR326	MicroRNA 326	RNA Gene		30	GC11M075335	16.36863327	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR326
MIR133B	MicroRNA 133b	RNA Gene		31	GC06P052148	16.22876549	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR133B
MIR100	MicroRNA 100	RNA Gene		30	GC11M122152	16.16982841	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR100
MIR141	MicroRNA 141	RNA Gene		30	GC12P074085	16.16982841	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141
MIRLET7E	MicroRNA Let-7e	RNA Gene		28	GC19P152977	16.16982841	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7E
MIR106A	MicroRNA 106a	RNA Gene		27	GC0XM135412	16.16982841	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106A
MIR215	MicroRNA 215	RNA Gene		27	GC01M220117	16.16982841	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR215
MIR518B	MicroRNA 518b	RNA Gene		25	GC19P153078	16.16982841	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR518B
IL12B	Interleukin 12B	Protein Coding	P29460	57	GC05M159314	16.07069588	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12B
IL22	Interleukin 22	Protein Coding	Q9GZX6	54	GC12M068248	15.84769535	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL22
LOC114803478	TRAF3IP2 EExon Liver Enhancer	Functional Element		5	GC06P111591	15.32950401	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC114803478
FABP5	Fatty Acid Binding Protein 5	Protein Coding	Q01469	55	GC08P081282	14.55571079	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP5
LCE3B	Late Cornified Envelope 3B	Protein Coding	Q5TA77	37	GC01P152613	14.34508705	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCE3B
MICA	MHC Class I Polypeptide-Related Sequence A	Protein Coding	Q29983	51	GC06P031399	13.66288567	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICA
IL23A	Interleukin 23 Subunit Alpha	Protein Coding	Q9NPF7	50	GC12P075442	13.62409019	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL23A
LOC100287329	Uncharacterized LOC100287329	RNA Gene		15	GC06M106477	13.07312965	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC100287329
RNF114	Ring Finger Protein 114	Protein Coding	Q9Y508	47	GC20P049936	12.92298889	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF114
IL10	Interleukin 10	Protein Coding	P22301	60	GC01M206767	12.83591175	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10
IFNG	Interferon Gamma	Protein Coding	P01579	63	GC12M068154	12.76099586	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG
S100A7	S100 Calcium Binding Protein A7	Protein Coding	P31151	51	GC01M153457	12.67194271	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A7
IL36G	Interleukin 36 Gamma	Protein Coding	Q9NZH8	51	GC02P112973	12.65742016	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36G
IFIH1	Interferon Induced With Helicase C Domain 1	Protein Coding	Q9BYX4	61	GC02M162267	12.36128616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1
LCE3C	Late Cornified Envelope 3C	Protein Coding	Q5T5A8	35	GC01P152600	12.00282764	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCE3C
TNIP1	TNFAIP3 Interacting Protein 1	Protein Coding	Q15025	51	GC05M151029	11.83521366	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNIP1
HLA-DRB1	"Major Histocompatibility Complex, Class II, DR Beta 1"	Protein Coding	P01911	60	GC06M106528	11.83285999	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1
IL17F	Interleukin 17F	Protein Coding	Q96PD4	54	GC06M106847	11.61804295	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17F
IL36A	Interleukin 36 Alpha	Protein Coding	Q9UHA7	49	GC02P113005	11.57898903	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36A
IL6	Interleukin 6	Protein Coding	P05231	64	GC07P022725	11.55842972	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
IL1A	Interleukin 1 Alpha	Protein Coding	P01583	58	GC02M112773	11.21620846	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A
VDR	Vitamin D Receptor	Protein Coding	P11473	61	GC12M047841	11.16197491	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR
KRT17	Keratin 17	Protein Coding	Q04695	58	GC17M041619	11.12219143	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT17
CXCL8	C-X-C Motif Chemokine Ligand 8	Protein Coding	P10145	57	GC04P073740	11.03593159	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
RIGI	RNA Sensor RIG-I	Protein Coding	O95786	60	GC09M032561	10.9284029	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIGI
FLG	Filaggrin	Protein Coding	P20930	54	GC01M167330	10.73647881	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLG
IL4	Interleukin 4	Protein Coding	P05112	59	GC05P132673	10.69291973	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4
KRT16	Keratin 16	Protein Coding	P08779	55	GC17M041609	10.56467342	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT16
IL20	Interleukin 20	Protein Coding	Q9NYY1	50	GC01P206866	10.5483799	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL20
IL1B	Interleukin 1 Beta	Protein Coding	P01584	60	GC02M112829	10.27206421	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
SOCS1	Suppressor Of Cytokine Signaling 1	Protein Coding	O15524	58	GC16M050219	10.08567715	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS1
FBXL19	F-Box And Leucine Rich Repeat Protein 19	Protein Coding	Q6PCT2	44	GC16P121073	9.815718651	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL19
IL13	Interleukin 13	Protein Coding	P35225	57	GC05P132656	9.805116653	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13
ACE	Angiotensin I Converting Enzyme	Protein Coding	P12821	64	GC17P063477	9.608316422	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE
PTPN22	Protein Tyrosine Phosphatase Non-Receptor Type 22	Protein Coding	Q9Y2R2	59	GC01M113813	9.600191116	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN22
HLA-A	"Major Histocompatibility Complex, Class I, A"	Protein Coding	P04439	59	GC06P181854	9.402927399	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A
VEGFA	Vascular Endothelial Growth Factor A	Protein Coding	P15692	61	GC06P043770	9.402289391	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
IL19	Interleukin 19	Protein Coding	Q9UHD0	52	GC01P206770	9.285651207	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL19
CCL2	C-C Motif Chemokine Ligand 2	Protein Coding	P13500	62	GC17P034255	9.13272953	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2
TNFAIP3	TNF Alpha Induced Protein 3	Protein Coding	P21580	62	GC06P137866	9.061618805	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP3
CRP	C-Reactive Protein	Protein Coding	P02741	58	GC01M167583	9.051537514	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP
ICAM1	Intercellular Adhesion Molecule 1	Protein Coding	P05362	63	GC19P151796	9.025777817	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1
TNFRSF1A	TNF Receptor Superfamily Member 1A	Protein Coding	P19438	62	GC12M006328	8.977043152	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A
SLC12A8	Solute Carrier Family 12 Member 8	Protein Coding	A0AV02	47	GC03M125082	8.722106934	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A8
IL2	Interleukin 2	Protein Coding	P60568	58	GC04M122451	8.577225685	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2
IL1R1	Interleukin 1 Receptor Type 1	Protein Coding	P14778	60	GC02P102136	8.508496284	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R1
S100A8	S100 Calcium Binding Protein A8	Protein Coding	P05109	55	GC01M167351	8.506920815	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8
CTLA4	Cytotoxic T-Lymphocyte Associated Protein 4	Protein Coding	P16410	61	GC02P204860	8.501800537	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4
ITGAL	Integrin Subunit Alpha L	Protein Coding	P20701	60	GC16P030472	8.433358192	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAL
CAMP	Cathelicidin Antimicrobial Peptide	Protein Coding	P49913	53	GC03P064957	8.429073334	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMP
IL2RA	Interleukin 2 Receptor Subunit Alpha	Protein Coding	P01589	63	GC10M006010	8.376339912	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA
FLG2	Filaggrin 2	Protein Coding	Q5D862	48	GC01M167331	8.355601311	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLG2
KRT10	Keratin 10	Protein Coding	P13645	56	GC17M040818	8.332302094	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10
IL1RN	Interleukin 1 Receptor Antagonist	Protein Coding	P18510	62	GC02P154111	8.311808586	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN
ADAM17	ADAM Metallopeptidase Domain 17	Protein Coding	P78536	64	GC02M009488	8.290587425	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17
TNFRSF1B	TNF Receptor Superfamily Member 1B	Protein Coding	P20333	61	GC01P075466	8.281709671	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B
ERAP1	Endoplasmic Reticulum Aminopeptidase 1	Protein Coding	Q9NZ08	57	GC05M096760	8.263068199	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERAP1
CXCL10	C-X-C Motif Chemokine Ligand 10	Protein Coding	P02778	57	GC04M076021	8.244176865	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10
AREG	Amphiregulin	Protein Coding	P15514	55	GC04P074445	8.178385735	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AREG
PI3	Peptidase Inhibitor 3	Protein Coding	P19957	50	GC20P045174	8.109481812	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PI3
SELE	Selectin E	Protein Coding	P16581	57	GC01M169722	8.048334122	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE
S100A9	S100 Calcium Binding Protein A9	Protein Coding	P06702	56	GC01P153357	8.047348976	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9
STAT3	Signal Transducer And Activator Of Transcription 3	Protein Coding	P40763	67	GC17M042313	8.045589447	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
DEFB4A	Defensin Beta 4A	Protein Coding	O15263	48	GC08P011308	7.981140614	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB4A
IL1RL2	Interleukin 1 Receptor Like 2	Protein Coding	Q9HB29	54	GC02P102186	7.936188698	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RL2
S100A7A	S100 Calcium Binding Protein A7A	Protein Coding	Q86SG5	44	GC01P153416	7.812562466	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A7A
ELANE	"Elastase, Neutrophil Expressed"	Protein Coding	P08246	64	GC19P151362	7.786501408	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE
IL20RA	Interleukin 20 Receptor Subunit Alpha	Protein Coding	Q9UHF4	48	GC06M136999	7.745370865	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL20RA
PDE4A	Phosphodiesterase 4A	Protein Coding	P27815	57	GC19P010416	7.687885284	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4A
IL36B	Interleukin 36 Beta	Protein Coding	Q9NZH7	45	GC02M113022	7.686448097	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36B
IL15	Interleukin 15	Protein Coding	P40933	55	GC04P141636	7.662278652	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15
NFKB1	Nuclear Factor Kappa B Subunit 1	Protein Coding	P19838	66	GC04P102501	7.553546906	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
CCL20	C-C Motif Chemokine Ligand 20	Protein Coding	P78556	54	GC02P227846	7.529628277	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL20
IL18	Interleukin 18	Protein Coding	Q14116	57	GC11M112143	7.513144016	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18
FOXP3	Forkhead Box P3	Protein Coding	Q9BZS1	59	GC0XM049250	7.401017189	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3
LORICRIN	Loricrin Cornified Envelope Precursor Protein	Protein Coding	P23490	47	GC01P176636	7.22853756	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LORICRIN
CD4	CD4 Molecule	Protein Coding	P01730	63	GC12P006786	7.212456226	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4
GPR15LG	G Protein-Coupled Receptor 15 Ligand	Protein Coding	Q6UWK7	40	GC10P126249	7.208117962	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR15LG
TGFB1	Transforming Growth Factor Beta 1	Protein Coding	P01137	65	GC19M041301	7.128183842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
IVL	Involucrin	Protein Coding	P07476	51	GC01P176624	7.12031126	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IVL
IL21	Interleukin 21	Protein Coding	Q9HBE4	57	GC04M122612	7.071045399	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL21
JAK1	Janus Kinase 1	Protein Coding	P23458	66	GC01M064833	7.062078953	https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK1
TLR2	Toll Like Receptor 2	Protein Coding	O60603	65	GC04P153684	6.931202412	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2
RARRES2	Retinoic Acid Receptor Responder 2	Protein Coding	Q99969	51	GC07M150333	6.829473972	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARRES2
CCR6	C-C Motif Chemokine Receptor 6	Protein Coding	P51684	55	GC06P167111	6.811721802	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6
SLURP2	Secreted LY6/PLAUR Domain Containing 2	Protein Coding	P0DP57	27	GC08M147303	6.768107891	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLURP2
IL7	Interleukin 7	Protein Coding	P13232	55	GC08M078689	6.763436317	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7
S100A12	S100 Calcium Binding Protein A12	Protein Coding	P80511	50	GC01M153373	6.759726524	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A12
SDR16C5	Short Chain Dehydrogenase/Reductase Family 16C Member 5	Protein Coding	Q8N3Y7	48	GC08M056300	6.728691578	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDR16C5
IL24	Interleukin 24	Protein Coding	Q13007	53	GC01P206897	6.719094276	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL24
SERPINA3	Serpin Family A Member 3	Protein Coding	P01011	56	GC14P094612	6.695224762	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3
CCL5	C-C Motif Chemokine Ligand 5	Protein Coding	P13501	56	GC17M035871	6.695223808	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5
CCL22	C-C Motif Chemokine Ligand 22	Protein Coding	O00626	49	GC16P121627	6.62042141	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL22
TGFA	Transforming Growth Factor Alpha	Protein Coding	P01135	58	GC02M070447	6.562785625	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFA
CD58	CD58 Molecule	Protein Coding	P19256	55	GC01M116514	6.491042137	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD58
IL17D	Interleukin 17D	Protein Coding	Q8TAD2	48	GC13P021163	6.406035423	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17D
IL11	Interleukin 11	Protein Coding	P20809	53	GC19M055364	6.394023895	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL11
MIR155	MicroRNA 155	RNA Gene		30	GC21P025573	6.374360085	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155
IL1F10	Interleukin 1 Family Member 10	Protein Coding	Q8WWZ1	49	GC02P113067	6.3660326	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1F10
MIR125A	MicroRNA 125a	RNA Gene		30	GC19P152978	6.338728905	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A
TGM1	Transglutaminase 1	Protein Coding	P22735	58	GC14M024249	6.334862232	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM1
IRF1	Interferon Regulatory Factor 1	Protein Coding	P10914	60	GC05M132440	6.324110508	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1
SERPINB4	Serpin Family B Member 4	Protein Coding	P48594	48	GC18M063637	6.279558182	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB4
SLPI	Secretory Leukocyte Peptidase Inhibitor	Protein Coding	P03973	53	GC20M045252	6.269535065	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLPI
CCL27	C-C Motif Chemokine Ligand 27	Protein Coding	Q9Y4X3	47	GC09M035856	6.251293182	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL27
CCL17	C-C Motif Chemokine Ligand 17	Protein Coding	Q92583	52	GC16P121634	6.220028877	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL17
CSTA	Cystatin A	Protein Coding	P01040	57	GC03P122325	6.117816448	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSTA
GATA3	GATA Binding Protein 3	Protein Coding	P23771	63	GC10P008045	6.112135887	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3
NGF	Nerve Growth Factor	Protein Coding	P01138	64	GC01M115285	6.110847473	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGF
ITGB2	Integrin Subunit Beta 2	Protein Coding	P05107	63	GC21M044885	6.084617615	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB2
NFKBIA	NFKB Inhibitor Alpha	Protein Coding	P25963	64	GC14M035401	6.079242229	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA
IL18R1	Interleukin 18 Receptor 1	Protein Coding	Q13478	56	GC02P102311	6.068527699	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18R1
IL31	Interleukin 31	Protein Coding	Q6EBC2	51	GC12M124698	6.054108143	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL31
EGF	Epidermal Growth Factor	Protein Coding	P01133	64	GC04P109912	5.998528004	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
IL6R	Interleukin 6 Receptor	Protein Coding	P08887	63	GC01P154405	5.994448185	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6R
FGF7	Fibroblast Growth Factor 7	Protein Coding	P21781	57	GC15P049423	5.96515274	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF7
MIR126	MicroRNA 126	RNA Gene		31	GC09P136670	5.943091869	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126
CD40	CD40 Molecule	Protein Coding	P25942	63	GC20P046118	5.890558243	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40
KIR2DL3	"Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 3"	Protein Coding	P43628	48	GC19P154056	5.888616085	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DL3
MIR223	MicroRNA 223	RNA Gene		30	GC0XP066018	5.859089375	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223
IL5	Interleukin 5	Protein Coding	P05113	58	GC05M132541	5.857376099	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5
